Desc,,BaseFile,Run,SinZone_bno,WeatherFile,ELA,ACTON,ACCFM,ANO,Ht_QIN,HCFM,HUM_CNTL_type,Res_DNO,DSET,Humlo_0,Humhi_0,WCFM_H,HRV_eS,HRV_eL,VCFM,exh_cfm,HRV_CFM,HRV_W,fctyp5,ftim_ON5,ftim_OFF5,fctyp7,ftim_ON7,ftim_OFF7,ilck71,fctyp8,fctyp9,ftim_ON9,ftim_OFF9,ilck91,sduct_area,rduct_area,leaks,leakr,duct_Rval,SENS_DAILY,LATG_DAILY
z3h85s1rh50v3,,1449.TRD,1,44,Atlanta-GA,87.629633974,2,750,18,60000,550,0,1,0,99,99,0.35,0.75,0,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.03,0.02,8,65430.0,15
z4h85s1rh50v3,,1449.TRD,2,49,Nashville-TN,87.629633974,2,750,18,60000,550,0,1,0,99,99,0.35,0.75,0,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.03,0.02,8,65430.0,15
z5h85s1rh50v3,,1449.TRD,3,54,Indianapolis-IN,87.629633974,2,750,18,60000,550,0,1,0,99,99,0.35,0.75,0,0,0,116,58.0,3,0.5,0.5,0,0,0,0,0,5,0.5,0.5,5,544,100,0.03,0.02,8,65430.0,15
