Desc,,BaseFile,Run,SinZone_bno,WeatherFile,ELA,ACTON,ACCFM,ANO,HUM_CNTL_type,Res_DNO,DSET,Humlo_0,Humhi_0,WCFM_H,HRV_eS,HRV_eL,VCFM,exh_cfm,HRV_CFM,HRV_W,fctyp5,ftim_ON5,ftim_OFF5,fctyp7,ftim_ON7,ftim_OFF7,ilck71,fctyp8,fctyp9,ftim_ON9,ftim_OFF9,ilck91,sduct_area,rduct_area,leaks,leakr,duct_Rval,SENS_DAILY,LATG_DAILY
z1h130s1rh50v0,,1449.TRD,1,36,Miami-FL,175.259267948,3,1125,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,544,100,0.12,0.08,6,72700,16.9
z2h130s1rh50v0,,1449.TRD,2,41,Houston-TX,175.259267948,3,1125,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,544,100,0.12,0.08,6,72700,16.9
z3h130s1rh50v0,,1449.TRD,3,46,Atlanta-GA,175.259267948,2.5,937.5,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,544,100,0.12,0.08,6,72700,16.9
z4h130s1rh50v0,,1449.TRD,4,51,Nashville-TN,175.259267948,2.5,937.5,16,0,1,0,99,99,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,544,100,0.12,0.08,6,72700,16.9
z5h130s1rh50v0,,1449.TRD,5,56,Indianapolis-IN,175.259267948,2.5,937.5,16,0,1,0,99,99,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,544,100,0.12,0.08,6,72700,16.9
