Desc,,BaseFile,Run,SinZone_bno,WeatherFile,ELA,ACTON,ACCFM,ANO,HUM_CNTL_type,Res_DNO,DSET,Humlo_0,Humhi_0,WCFM_H,HRV_eS,HRV_eL,VCFM,exh_cfm,HRV_CFM,HRV_W,fctyp5,ftim_ON5,ftim_OFF5,fctyp7,ftim_ON7,ftim_OFF7,ilck71,fctyp8,fctyp9,sduct_area,rduct_area,leaks,leakr,duct_Rval,SENS_DAILY,LATG_DAILY
z1h100s1rh50v1,,1449.TRD,2,35,Miami-FL,122.681487564,3,1125,17,0,1,0,99,99,0.5,0.7,0.6,0,58,0,0,0,0,0,0,0,0,0,1,0,544,100,0.1,0,6,72700,16.9
z2h100s1rh50v1,,1449.TRD,8,40,Houston-TX,122.681487564,3,1125,17,0,1,0,99,99,0.5,0.7,0.6,0,58,0,0,0,0,0,0,0,0,0,1,0,544,100,0.1,0,6,72700,16.9
z3h100s1rh50v1,,1449.TRD,14,45,Atlanta-GA,122.681487564,2.5,937.5,17,0,1,0,99,99,0.5,0.7,0.6,0,58,0,0,0,0,0,0,0,0,0,1,0,544,100,0.1,0,6,72700,16.9
