Desc,,BaseFile,Run,SinZone_bno,WeatherFile,ELA,ACTON,ACCFM,ANO,HUM_CNTL_type,Res_DNO,DSET,Humlo_0,Humhi_0,WCFM_H,HRV_eS,HRV_eL,VCFM,exh_cfm,HRV_CFM,HRV_W,fctyp5,ftim_ON5,ftim_OFF5,fctyp7,ftim_ON7,ftim_OFF7,ilck71,fctyp8,fctyp9,sduct_area,rduct_area,leaks,leakr,duct_Rval,SENS_DAILY,LATG_DAILY
z1h130s1rh50v0,,1449.TRD,2,36,Miami-FL,175.259267948,2,750,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z1h130s1rh60v0,,1449.TRD,3,36,Miami-FL,175.259267948,2,750,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z2h130s1rh50v0,,1449.TRD,4,41,Houston-TX,175.259267948,2,750,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z2h130s1rh60v0,,1449.TRD,5,41,Houston-TX,175.259267948,2,750,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z3h130s1rh50v0,,1449.TRD,6,46,Atlanta-GA,175.259267948,2,750,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z3h130s1rh60v0,,1449.TRD,7,46,Atlanta-GA,175.259267948,2,750,16,0,1,0,99,99,0.5,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z4h130s1rh50v0,,1449.TRD,8,51,Nashville-TN,175.259267948,2,750,16,0,1,0,99,99,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z4h130s1rh60v0,,1449.TRD,9,51,Nashville-TN,175.259267948,2,750,16,0,1,0,99,99,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z5h130s1rh50v0,,1449.TRD,10,56,Indianapolis-IN,175.259267948,2,750,16,0,1,0,99,99,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
z5h130s1rh60v0,,1449.TRD,11,56,Indianapolis-IN,175.259267948,2,750,16,0,1,0,99,99,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,100,0.2,0,6,72700,16.9
