Weekday_Sensible Weekday_Latent Weekday_Occupancy Weekend_Sensible Weekend_Latent Weekend_Occupancy
0.00056649 0.00088442 1.0 0.00056649 0.00088442 1.0
0.00056632 0.00088413 1.0 0.00056632 0.00088413 1.0
0.00056616 0.00088266 1.0 0.00056616 0.00088266 1.0
0.00056575 0.00088219 1.0 0.00056575 0.00088219 1.0
0.00056535 0.00088173 1.0 0.00056535 0.00088173 1.0
0.00056496 0.00088129 1.0 0.00056496 0.00088129 1.0
0.00056459 0.00088086 1.0 0.00056459 0.00088086 1.0
0.00056422 0.00088045 1.0 0.00056422 0.00088045 1.0
0.00056386 0.00088005 1.0 0.00056386 0.00088005 1.0
0.00056352 0.00087966 1.0 0.00056352 0.00087966 1.0
0.00056318 0.00087928 1.0 0.00056318 0.00087928 1.0
0.00056286 0.00087892 1.0 0.00056286 0.00087892 1.0
0.00056254 0.00087857 1.0 0.00056254 0.00087857 1.0
0.00056224 0.00087824 1.0 0.00056224 0.00087824 1.0
0.00056194 0.00087792 1.0 0.00056194 0.00087792 1.0
0.00056166 0.00087761 1.0 0.00056166 0.00087761 1.0
0.00056139 0.00087731 1.0 0.00056139 0.00087731 1.0
0.00056112 0.00087703 1.0 0.00056112 0.00087703 1.0
0.00056087 0.00087676 1.0 0.00056087 0.00087676 1.0
0.00056063 0.00087651 1.0 0.00056063 0.00087651 1.0
0.0005604 0.00087626 1.0 0.0005604 0.00087626 1.0
0.00056018 0.00087603 1.0 0.00056018 0.00087603 1.0
0.00055997 0.00087582 1.0 0.00055997 0.00087582 1.0
0.00055976 0.00087562 1.0 0.00055976 0.00087562 1.0
0.00055957 0.00087543 1.0 0.00055957 0.00087543 1.0
0.00055939 0.00087525 1.0 0.00055939 0.00087525 1.0
0.00055922 0.00087509 1.0 0.00055922 0.00087509 1.0
0.00055906 0.00087494 1.0 0.00055906 0.00087494 1.0
0.00055892 0.0008748 1.0 0.00055892 0.0008748 1.0
0.00055878 0.00087468 1.0 0.00055878 0.00087468 1.0
0.00055865 0.00087457 1.0 0.00055865 0.00087457 1.0
0.00055853 0.00087448 1.0 0.00055853 0.00087448 1.0
0.00055842 0.00087439 1.0 0.00055842 0.00087439 1.0
0.00055833 0.00087433 1.0 0.00055833 0.00087433 1.0
0.00055824 0.00087427 1.0 0.00055824 0.00087427 1.0
0.00055816 0.00087423 1.0 0.00055816 0.00087423 1.0
0.0005581 0.0008742 1.0 0.0005581 0.0008742 1.0
0.00055804 0.00087418 1.0 0.00055804 0.00087418 1.0
0.00055799 0.00087418 1.0 0.00055799 0.00087418 1.0
0.00055796 0.00087419 1.0 0.00055796 0.00087419 1.0
0.00055793 0.00087421 1.0 0.00055793 0.00087421 1.0
0.00055792 0.00087425 1.0 0.00055792 0.00087425 1.0
0.00055792 0.0008743 1.0 0.00055792 0.0008743 1.0
0.00055792 0.00087436 1.0 0.00055792 0.00087436 1.0
0.00055794 0.00087444 1.0 0.00055794 0.00087444 1.0
0.00055797 0.00087453 1.0 0.00055797 0.00087453 1.0
0.000558 0.00087463 1.0 0.000558 0.00087463 1.0
0.00055805 0.00087475 1.0 0.00055805 0.00087475 1.0
0.00055811 0.00087488 1.0 0.00055811 0.00087488 1.0
0.00055818 0.00087502 1.0 0.00055818 0.00087502 1.0
0.00055826 0.00087518 1.0 0.00055826 0.00087518 1.0
0.00055835 0.00087535 1.0 0.00055835 0.00087535 1.0
0.00055259 0.00087642 1.0 0.00055259 0.00087642 1.0
0.00055177 0.00087624 1.0 0.00055177 0.00087624 1.0
0.00055102 0.00087608 1.0 0.00055102 0.00087608 1.0
0.00055033 0.00087593 1.0 0.00055033 0.00087593 1.0
0.00054971 0.00087579 1.0 0.00054971 0.00087579 1.0
0.00054916 0.00087568 1.0 0.00054916 0.00087568 1.0
0.00054867 0.00087558 1.0 0.00054867 0.00087558 1.0
0.00054825 0.00087549 1.0 0.00054825 0.00087549 1.0
0.00054789 0.00087542 1.0 0.00054789 0.00087542 1.0
0.0005476 0.00087537 1.0 0.0005476 0.00087537 1.0
0.00054738 0.00087533 1.0 0.00054738 0.00087533 1.0
0.00054723 0.00087531 1.0 0.00054723 0.00087531 1.0
0.00054714 0.00087531 1.0 0.00054714 0.00087531 1.0
0.00054712 0.00087532 1.0 0.00054712 0.00087532 1.0
0.00054716 0.00087535 1.0 0.00054716 0.00087535 1.0
0.00054727 0.00087539 1.0 0.00054727 0.00087539 1.0
0.00054745 0.00087545 1.0 0.00054745 0.00087545 1.0
0.00054769 0.00087553 1.0 0.00054769 0.00087553 1.0
0.000548 0.00087562 1.0 0.000548 0.00087562 1.0
0.00054838 0.00087573 1.0 0.00054838 0.00087573 1.0
0.00054883 0.00087585 1.0 0.00054883 0.00087585 1.0
0.00054934 0.000876 1.0 0.00054934 0.000876 1.0
0.00054991 0.00087615 1.0 0.00054991 0.00087615 1.0
0.00055056 0.00087633 1.0 0.00055056 0.00087633 1.0
0.00055127 0.00087652 1.0 0.00055127 0.00087652 1.0
0.00055204 0.00087672 1.0 0.00055204 0.00087672 1.0
0.00055288 0.00087694 1.0 0.00055288 0.00087694 1.0
